Investor Name,Number of Company
Russia-China Investment Fund,1
Foxconn Technology Company,1
Horizons Ventures,1
Starr Investment Holdings,1
TLV Partners,1
Dragoneer Investment Group,2
Hellman & Friedman,1
JMI Equity,1
TQ Ventures,1
Bond Capital,1
Drive Capital,1
Ascension Ventures,1
Aleph,1
Georgian Partners,1
Foundation Capital,1
Blackrock,1
Kleiner Perkins Caulfield & Byers,1
Pear,1
Cowboy Ventures,1
Fifth Wall Ventures,1
Energize Ventures,1
Silversmith Capital Partners,2
Fairfax Financial Holdings,1
A91 Partners,1
TVS Capital,1
China Health Industry Investment Fund,1
China Renaissance,1
and Sequoia Capital China,1
New Leaf Venture Partners,1
Charter Venture Capital,1
Casa Verde Capital,1
Gron Ventures,1
Thrity Five Ventures,1
Dell Technologies Capital,1
Upfront Ventures,1
Webb Investment Network,1
Samsung Ventures,1
Silver Lake,2
Breakthrough Energy Ventures,1
Capricorn Investment Group,2
Valor Equity Partners,1
New Era Ventures,1
Alkeon Capital Management,1
Wonder Ventures,1
01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,1
Promus Ventures,1
Lux Capital,2
NewView Capital,1
Maveron,1
Ridge Ventures,1
Franklin Templeton,1
EQT Partners,1
Activant Capital Group,1
Alaska Permanent Fund,1
Baillie Gifford & Co.,1
Kuang-Chi,1
HCA Healthcare,1
Elaia Partners,1
Felix Capital,1
Airbus Ventures,1
Caisse de depot et placement du Quebec,1
DN Capital,1
Left Lane Capital,1
Madrona Venture Group,1
Shasta Ventures,1
True Ventures,1
Mithril Capital Management,1
VebVentures,1
Blume Ventures,1
Noshaq,1
Sofinnova Partners,1
Kalaari Capital,1
China Environmental Protection Industry,1
China Fortune Ocean,1
Vertex Ventures,1
Sands Capital,1
Revolution Growth,1
Moore Strategic Ventures,1
Lerer Hippeau,1
Kenetic Capital,1
Alibaba Pictures Group,1
VentureTech,1
Tiger Global,1
Google Capital,1
Cocnord Health Partners,1
Bertelsmann India Investments,1
AME Cloud Ventures,1
Future Perfect Ventures,1
Blockchain Capital,2
WestBridge Capital,1
Alliance Consumer Growth,1
Imaginary Ventures,1
The Column Group,1
Foresite Capital,2
next47,1
Microsoft ScaleUp,1
Susquehanna Growth Equity,2
East Ventures,1
Expedia Inc.,1
Morningside Ventures,1
CreditEase Fintech Investment Fund,1
CPP Investment Board,1
Digital Currency Group,1
Holtzbrinck Ventures,1
Unternehmertum Venture Capital,1
Artiman Ventures,1
Plug and Play Ventures,1
Sequoia Capital Israel,1
Scale Venture Partners,1
OpenView Venture Partners,1
ConsenSys Ventures,1
PUC,1
Cambridge Innovation Capital,1
LGT Capital Partners,1
Escala Capital,1
Spectrum Equity,1
Grayhawk Capital,1
Iconiq Capital,1
Brookfield Asset Management,1
Data Collective,1
Balderton Capital,1
Uncork Capital,1
Jackson Square Ventures,1
Fabric Ventures,1
500 Global,1
Standard Crypto,1
Uniion Square Ventures,1
Lightspeed Venture Capital,1
Jump Capital,1
Pitango Venture Capital,1
BMO Capital,1
Schonfeld Strategic Advisors,1
Green Visor Capital,1
CRE Venture Capital,1
Tiger Brokers,1
Bnk To The Future,1
Trammell Ventures,1
SBI Investment,1
Quantum Energy Partners,1
Bedrock Capital,1
Monashees+,1
QED Investors,1
BEENEXT,1
